,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
150,Aihen Muñoz,es ESP,DF,26-211,12.5,36.0,21,20.0,10.0,6.0,24.0,35.0,68.6,11.0,16.0,8.0,8.0,9,45.0,33.0,0.0,Partidos
151,Kieran Tierney,sct SCO,DF,26-283,10.2,30.0,19,14.0,15.0,1.0,16.0,24.0,66.7,8.0,18.0,6.0,12.0,10,40.0,30.0,0.0,Partidos
152,Arsen Zakharyan,ru RUS,"CC,DL",20-293,8.6,15.0,12,7.0,8.0,0.0,6.0,12.0,50.0,6.0,14.0,0.0,14.0,1,16.0,6.0,0.0,Partidos
153,Jon Pacheco,es ESP,DF,23-066,10.2,14.0,7,13.0,1.0,0.0,7.0,13.0,53.8,6.0,12.0,5.0,7.0,5,19.0,31.0,1.0,Partidos
154,André Silva,pt POR,DL,28-129,5.8,2.0,2,0.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,1,3.0,2.0,0.0,Partidos
155,Javi Galán,es ESP,DF,29-116,5.6,19.0,12,7.0,9.0,3.0,7.0,14.0,50.0,7.0,13.0,1.0,12.0,9,28.0,5.0,1.0,Partidos
156,Carlos Fernández,es ESP,DL,27-297,4.5,11.0,7,3.0,6.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,0,11.0,5.0,0.0,Partidos
157,Aritz Elustondo,es ESP,DF,29-352,5.5,6.0,4,1.0,4.0,1.0,5.0,8.0,62.5,3.0,6.0,5.0,1.0,5,11.0,15.0,0.0,Partidos
158,Jon Aramburu,ve VEN,DF,21-235,4.8,14.0,9,8.0,4.0,2.0,10.0,14.0,71.4,4.0,6.0,3.0,3.0,5,19.0,15.0,0.0,Partidos
159,Álvaro Odriozola,es ESP,DF,28-091,1.2,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,4,5.0,2.0,0.0,Partidos
160,Olasagasti,es ESP,CC,23-211,3.5,14.0,12,3.0,7.0,4.0,4.0,7.0,57.1,3.0,2.0,0.0,2.0,3,17.0,5.0,1.0,Partidos
161,Urko González,es ESP,CC,22-360,1.7,4.0,1,0.0,3.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0,4.0,6.0,0.0,Partidos
162,Mohamed Ali Cho,fr FRA,"DL,CC",20-055,2.8,4.0,3,3.0,1.0,0.0,2.0,7.0,28.6,5.0,6.0,0.0,6.0,1,5.0,1.0,0.0,Partidos
163,Unai Marrero,es ESP,PO,22-157,1.6,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
164,Sheraldo Becker,sr SUR,"CC,DL",29-034,1.6,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Partidos
165,Jon Magunacelaya,es ESP,"DL,CC",23-245,1.3,5.0,3,2.0,3.0,0.0,4.0,7.0,57.1,3.0,2.0,0.0,2.0,0,5.0,2.0,0.0,Partidos
166,Alex Sola,es ESP,"DF,CC",24-279,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,2.0,0.0,Partidos
167,Alberto Dadie,es ESP,CC,21-238,0.3,2.0,1,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,2.0,0.0,0.0,Partidos
168,Total del equipo,,,26.4,28.0,479.0,302,204.0,210.0,65.0,217.0,418.0,51.9,201.0,308.0,91.0,217.0,196,675.0,527.0,14.0,
169,Total del oponente,,,28.1,28.0,489.0,282,236.0,206.0,47.0,215.0,461.0,46.6,246.0,298.0,85.0,213.0,213,702.0,628.0,6.0,
170,Germán Pezzella,ar ARG,DF,32-261,25.1,29.0,20,20.0,9.0,0.0,19.0,32.0,59.4,13.0,27.0,16.0,11.0,27,56.0,129.0,0.0,Partidos
171,Isco,es ESP,CC,31-328,20.5,29.0,19,9.0,17.0,3.0,10.0,28.0,35.7,18.0,16.0,1.0,15.0,8,37.0,7.0,0.0,Partidos
172,Marc Roca,es ESP,CC,27-109,20.2,49.0,34,16.0,27.0,6.0,28.0,49.0,57.1,21.0,27.0,5.0,22.0,16,65.0,21.0,1.0,Partidos
173,Rui Silva,pt POR,PO,30-036,18.5,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1,1.0,7.0,1.0,Partidos
174,Ayoze Pérez,es ESP,DL,30-229,16.7,37.0,22,10.0,23.0,4.0,12.0,28.0,42.9,16.0,29.0,2.0,27.0,17,54.0,12.0,0.0,Partidos
175,Héctor Bellerín,es ESP,DF,28-361,16.4,28.0,19,11.0,13.0,4.0,16.0,43.0,37.2,27.0,11.0,5.0,6.0,19,47.0,35.0,1.0,Partidos
176,Willian José,br BRA,DL,32-112,15.8,6.0,2,1.0,2.0,3.0,1.0,3.0,33.3,2.0,8.0,2.0,6.0,1,7.0,14.0,0.0,Partidos
177,Chadi Riad,ma MAR,DF,20-271,15.5,24.0,15,12.0,12.0,0.0,11.0,19.0,57.9,8.0,15.0,8.0,7.0,13,37.0,70.0,0.0,Partidos
178,Guido Rodríguez,ar ARG,CC,29-337,13.3,23.0,13,13.0,7.0,3.0,17.0,33.0,51.5,16.0,18.0,3.0,15.0,18,41.0,31.0,0.0,Partidos
179,Juan Miranda,es ESP,DF,24-055,13.2,24.0,14,11.0,9.0,4.0,11.0,20.0,55.0,9.0,20.0,4.0,16.0,12,36.0,46.0,0.0,Partidos
180,Abner,br BRA,DF,23-292,12.9,20.0,17,12.0,7.0,1.0,14.0,28.0,50.0,14.0,21.0,4.0,17.0,11,31.0,51.0,0.0,Partidos
181,Assane Diao,es ESP,DL,18-189,11.4,19.0,11,5.0,8.0,6.0,5.0,16.0,31.3,11.0,22.0,4.0,18.0,7,26.0,7.0,0.0,Partidos
182,Rodri,es ESP,"DL,CC",23-303,9.6,14.0,8,5.0,7.0,2.0,8.0,19.0,42.1,11.0,9.0,0.0,9.0,7,21.0,2.0,0.0,Partidos
183,Aitor Ruibal,es ESP,"DF,DL",27-358,8.6,38.0,21,23.0,12.0,3.0,27.0,50.0,54.0,23.0,8.0,1.0,7.0,11,49.0,23.0,0.0,Partidos
184,Sokratis Papastathopoulos,gr GRE,DF,35-279,7.8,10.0,4,6.0,4.0,0.0,6.0,8.0,75.0,2.0,11.0,7.0,4.0,6,16.0,44.0,0.0,Partidos
185,Claudio Bravo,cl CHI,PO,40-336,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Partidos
186,Johnny Cardoso,us USA,CC,22-176,6.9,23.0,15,11.0,9.0,3.0,10.0,15.0,66.7,5.0,11.0,4.0,7.0,18,41.0,18.0,0.0,Partidos
187,Luiz Henrique,br BRA,DL,23-072,6.8,15.0,11,4.0,10.0,1.0,9.0,14.0,64.3,5.0,11.0,0.0,11.0,5,20.0,8.0,0.0,Partidos
188,Nabil Fekir,fr FRA,"CC,DL",30-240,6.5,10.0,6,3.0,5.0,2.0,4.0,7.0,57.1,3.0,6.0,0.0,6.0,5,15.0,1.0,0.0,Partidos
189,Youssouf Sabaly,sn SEN,DF,31-009,6.0,10.0,7,7.0,2.0,1.0,4.0,5.0,80.0,1.0,5.0,2.0,3.0,7,17.0,18.0,0.0,Partidos
190,Sergi Altimira,es ESP,CC,22-202,5.6,15.0,8,8.0,6.0,1.0,11.0,22.0,50.0,11.0,12.0,1.0,11.0,8,23.0,10.0,0.0,Partidos
191,Abdessamad Ezzalzouli,ma MAR,DL,22-088,7.6,11.0,10,3.0,5.0,3.0,4.0,11.0,36.4,7.0,8.0,0.0,8.0,4,15.0,3.0,0.0,Partidos
192,Pablo Fornals,es ESP,"DL,CC",28-021,5.0,3.0,3,0.0,2.0,1.0,2.0,4.0,50.0,2.0,7.0,0.0,7.0,9,12.0,2.0,1.0,Partidos
193,Andrés Guardado,mx MEX,CC,37-168,5.0,17.0,12,5.0,9.0,3.0,7.0,14.0,50.0,7.0,4.0,2.0,2.0,6,23.0,5.0,0.0,Partidos
194,Borja Iglesias,es ESP,DL,31-057,4.5,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2,2.0,2.0,0.0,Partidos
195,Luiz Felipe,it ITA,DF,26-358,4.0,7.0,3,5.0,2.0,0.0,4.0,5.0,80.0,1.0,10.0,4.0,6.0,4,11.0,16.0,0.0,Partidos
196,Ezequiel Ávila,ar ARG,DL,30-037,3.1,2.0,1,0.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1,3.0,4.0,0.0,Partidos
197,William Carvalho,pt POR,CC,31-342,5.7,16.0,9,7.0,7.0,2.0,8.0,12.0,66.7,4.0,4.0,1.0,3.0,5,21.0,4.0,0.0,Partidos
198,Marc Bartra,es ESP,DF,33-059,2.5,4.0,3,3.0,1.0,0.0,4.0,5.0,80.0,1.0,3.0,1.0,2.0,3,7.0,10.0,0.0,Partidos
199,Francisco Barbosa,es ESP,PO,24-312,2.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Partidos
200,Juan Cruz,es ESP,DL,23-324,0.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
201,Ricardo Visus,es ESP,DF,22-325,0.8,,0,,,,,,,,,,,1,,,,Partidos
202,Pablo Busto,es ESP,DF,18-181,0.5,1.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1,2.0,3.0,0.0,Partidos
203,Paul Akouokou,ci CIV,CC,26-085,0.3,5.0,3,0.0,2.0,3.0,3.0,3.0,100.0,0.0,3.0,1.0,2.0,1,6.0,1.0,0.0,Partidos
204,Cédric Bakambu,cd COD,DL,32-338,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Partidos
205,Total del equipo,,,28.4,28.0,489.0,311,210.0,219.0,60.0,257.0,504.0,51.0,247.0,330.0,79.0,251.0,254,743.0,612.0,4.0,
206,Total del oponente,,,27.8,28.0,564.0,344,248.0,264.0,52.0,260.0,548.0,47.4,288.0,352.0,108.0,244.0,227,791.0,510.0,4.0,
207,Giorgi Mamardashvili,ge GEO,PO,23-167,27.0,2.0,2,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0,2.0,14.0,2.0,Partidos
208,José Luis García Vayá,es ESP,CC,25-216,26.7,64.0,45,32.0,26.0,6.0,30.0,53.0,56.6,23.0,32.0,8.0,24.0,31,95.0,50.0,0.0,Partidos
209,Hugo Duro,es ESP,DL,24-125,24.9,12.0,7,3.0,6.0,3.0,7.0,23.0,30.4,16.0,19.0,3.0,16.0,4,16.0,19.0,0.0,Partidos
210,Francisco Perez,es ESP,"CC,DL",21-187,19.5,30.0,17,10.0,14.0,6.0,15.0,41.0,36.6,26.0,17.0,0.0,17.0,11,41.0,5.0,0.0,Partidos
211,Cristhian Mosquera,co COL,DF,19-261,23.2,34.0,20,19.0,13.0,2.0,17.0,28.0,60.7,11.0,25.0,10.0,15.0,25,59.0,103.0,2.0,Partidos
212,José Luis Gayà,es ESP,DF,28-294,19.0,70.0,36,44.0,22.0,4.0,42.0,66.0,63.6,24.0,17.0,3.0,14.0,10,80.0,42.0,0.0,Partidos
213,Diego López,es ESP,"DL,CC",21-306,19.2,25.0,15,6.0,12.0,7.0,8.0,36.0,22.2,28.0,14.0,0.0,14.0,11,36.0,8.0,0.0,Partidos
214,Javier Guerra,es ESP,"CC,DL",21-073,19.4,35.0,16,17.0,12.0,6.0,14.0,40.0,35.0,26.0,19.0,3.0,16.0,10,45.0,29.0,0.0,Partidos
215,Thierry Correia,pt POR,DF,25-005,15.9,44.0,28,27.0,14.0,3.0,23.0,40.0,57.5,17.0,20.0,7.0,13.0,28,72.0,44.0,0.0,Partidos
216,Gabriel Paulista,br BRA,DF,33-109,15.5,10.0,7,8.0,2.0,0.0,6.0,11.0,54.5,5.0,15.0,7.0,8.0,24,34.0,78.0,0.0,Partidos
217,Dimitri Foulquier,fr FRA,"DF,CC",30-357,14.3,29.0,16,17.0,9.0,3.0,15.0,21.0,71.4,6.0,7.0,0.0,7.0,10,39.0,34.0,1.0,Partidos
218,Mouctar Diakhaby,gn GUI,"DF,CC",27-086,11.9,18.0,11,9.0,9.0,0.0,11.0,13.0,84.6,2.0,17.0,7.0,10.0,11,29.0,62.0,0.0,Partidos
219,Cenk Özkacar,tr TUR,DF,23-160,9.7,13.0,8,10.0,3.0,0.0,9.0,16.0,56.3,7.0,10.0,4.0,6.0,9,22.0,49.0,1.0,Partidos
220,Sergi Canós,es ESP,"CC,DL",27-041,8.5,17.0,8,6.0,7.0,4.0,5.0,13.0,38.5,8.0,9.0,1.0,8.0,7,24.0,4.0,0.0,Partidos
221,Hugo Guillamón,es ESP,CC,24-043,11.3,20.0,12,5.0,12.0,3.0,10.0,15.0,66.7,5.0,5.0,3.0,2.0,9,29.0,24.0,1.0,Partidos
222,Roman Yaremchuk,ua UKR,DL,28-108,7.7,5.0,2,1.0,2.0,2.0,3.0,5.0,60.0,2.0,4.0,0.0,4.0,1,6.0,7.0,0.0,Partidos
223,Selim Amallah,ma MAR,"DL,CC",27-120,6.5,17.0,12,7.0,7.0,3.0,3.0,9.0,33.3,6.0,13.0,0.0,13.0,10,27.0,6.0,0.0,Partidos
224,Domingos André Ribeiro Almeida,pt POR,"DL,CC",23-289,5.3,11.0,6,3.0,6.0,2.0,5.0,10.0,50.0,5.0,4.0,0.0,4.0,2,13.0,2.0,0.0,Partidos
225,Jesus Vazquez,es ESP,"DF,CC",21-072,3.3,9.0,3,6.0,2.0,1.0,5.0,7.0,71.4,2.0,7.0,1.0,6.0,0,9.0,4.0,0.0,Partidos
226,Yarek Hernandis,es ESP,DF,19-062,3.2,,7,,,,,,,,,,,7,,,,Partidos
227,Pablo Gozalbez,es ESP,"CC,DL",22-319,1.1,1.0,0,0.0,0.0,1.0,1.0,6.0,16.7,5.0,0.0,0.0,0.0,1,2.0,2.0,0.0,Partidos
228,Peter González,do DOM,"CC,DL",21-233,1.1,1.0,1,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0,1.0,2.0,0.0,Partidos
229,Alberto Marí,es ESP,"DL,CC",22-247,0.6,2.0,1,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0,Partidos
230,Hugo González,es ESP,"CC,DL",21-036,0.6,2.0,1,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Partidos
231,Mario Dominguez,es ESP,DL,20-033,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
232,César Tárrega,es ESP,DF,22-017,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Partidos
233,Total del equipo,,,24.8,27.0,471.0,281,232.0,181.0,58.0,232.0,459.0,50.5,227.0,257.0,57.0,200.0,221,692.0,591.0,7.0,
234,Total del oponente,,,27.8,27.0,448.0,288,218.0,171.0,59.0,205.0,405.0,50.6,200.0,289.0,59.0,230.0,197,645.0,447.0,7.0,
235,Álvaro Vallés,es ESP,PO,26-233,28.0,2.0,1,2.0,0.0,0.0,2.0,7.0,28.6,5.0,0.0,0.0,0.0,0,2.0,35.0,1.0,Partidos
236,Kirian Rodríguez,es ESP,CC,28-009,25.7,37.0,25,17.0,15.0,5.0,17.0,53.0,32.1,36.0,29.0,3.0,26.0,17,54.0,19.0,1.0,Partidos
237,Mika Màrmol,es ESP,DF,21-256,25.5,50.0,31,31.0,18.0,1.0,24.0,34.0,70.6,10.0,31.0,15.0,16.0,29,79.0,120.0,2.0,Partidos
238,Munir El Haddadi,ma MAR,DL,28-195,22.9,33.0,21,15.0,14.0,4.0,15.0,35.0,42.9,20.0,19.0,1.0,18.0,10,43.0,12.0,0.0,Partidos
239,Sergi Cardona,es ESP,DF,24-250,25.1,72.0,44,41.0,24.0,7.0,46.0,79.0,58.2,33.0,35.0,7.0,28.0,40,112.0,85.0,0.0,Partidos
240,Javier Muñoz,es ESP,CC,29-015,22.5,31.0,16,11.0,14.0,6.0,13.0,35.0,37.1,22.0,32.0,3.0,29.0,14,45.0,18.0,1.0,Partidos
241,Álex Suárez,es ESP,DF,30-362,19.8,40.0,25,22.0,14.0,4.0,24.0,27.0,88.9,3.0,23.0,11.0,12.0,13,53.0,69.0,0.0,Partidos
242,Saúl Coco,gq EQG,DF,25-034,18.4,21.0,13,16.0,5.0,0.0,7.0,12.0,58.3,5.0,20.0,13.0,7.0,15,36.0,92.0,3.0,Partidos
243,Máximo Perrone,ar ARG,CC,21-067,14.2,37.0,19,16.0,19.0,2.0,17.0,32.0,53.1,15.0,18.0,3.0,15.0,24,61.0,19.0,0.0,Partidos
244,Enzo Loiodice,fr FRA,CC,23-108,15.3,43.0,25,11.0,23.0,9.0,12.0,32.0,37.5,20.0,16.0,2.0,14.0,11,54.0,13.0,1.0,Partidos
245,Sandro Ramírez,es ESP,DL,28-249,13.3,8.0,7,2.0,5.0,1.0,3.0,8.0,37.5,5.0,11.0,1.0,10.0,1,9.0,9.0,1.0,Partidos
246,Alberto Moleiro,es ESP,"DL,CC",20-166,11.4,8.0,5,4.0,3.0,1.0,5.0,21.0,23.8,16.0,7.0,0.0,7.0,6,14.0,8.0,0.0,Partidos
247,Julian Araujo,mx MEX,DF,22-214,13.5,33.0,18,22.0,6.0,5.0,19.0,29.0,65.5,10.0,20.0,14.0,6.0,10,43.0,45.0,1.0,Partidos
248,Marvin,es ESP,"DL,DF",23-255,13.2,26.0,18,12.0,11.0,3.0,12.0,24.0,50.0,12.0,15.0,2.0,13.0,8,34.0,13.0,0.0,Partidos
249,Jonathan Viera,es ESP,"CC,DL",34-145,6.9,6.0,3,1.0,2.0,3.0,1.0,9.0,11.1,8.0,0.0,0.0,0.0,0,6.0,1.0,0.0,Partidos
250,Sory Kaba,gn GUI,DL,28-230,6.6,1.0,0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,0,1.0,8.0,0.0,Partidos
251,Marc Cardona,es ESP,DL,28-250,6.0,6.0,5,3.0,1.0,2.0,1.0,8.0,12.5,7.0,5.0,0.0,5.0,1,7.0,7.0,0.0,Partidos
252,Francisco Jesús Crespo García,es ESP,DL,27-229,5.4,12.0,8,3.0,6.0,3.0,6.0,18.0,33.3,12.0,4.0,0.0,4.0,2,14.0,5.0,0.0,Partidos
253,Daley Sinkgraven,nl NED,DF,28-254,2.9,7.0,4,3.0,4.0,0.0,1.0,6.0,16.7,5.0,2.0,1.0,1.0,3,10.0,7.0,0.0,Partidos
254,Juan Herzog,es ESP,DF,20-306,2.2,5.0,4,4.0,1.0,0.0,3.0,5.0,60.0,2.0,3.0,0.0,3.0,2,7.0,13.0,0.0,Partidos
255,Álvaro Lemos,es ESP,DF,30-350,2.2,4.0,1,1.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2,6.0,4.0,0.0,Partidos
256,Cristian Herrera,es ESP,"DL,CC",33-001,1.7,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0,1.0,2.0,0.0,Partidos
257,José Campaña,es ESP,CC,30-288,1.1,2.0,2,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1,3.0,0.0,0.0,Partidos
258,Eric Curbelo,es ESP,DF,30-060,1.0,2.0,1,1.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,2.0,2,4.0,5.0,1.0,Partidos
259,Omenuke Mfulu,cd COD,"CC,DL",29-360,0.9,4.0,3,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2,6.0,5.0,0.0,Partidos
260,Benito Ramírez,es ESP,"DL,CC",28-247,1.9,4.0,2,1.0,3.0,0.0,2.0,4.0,50.0,2.0,4.0,1.0,3.0,1,5.0,0.0,0.0,Partidos
261,Iñaki González,es ESP,CC,19-231,0.1,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Partidos
262,Fabio González,es ESP,CC,27-031,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Partidos
263,Total del equipo,,,26.2,28.0,496.0,302,244.0,196.0,56.0,232.0,491.0,47.3,259.0,308.0,81.0,227.0,214,710.0,615.0,12.0,
264,Total del oponente,,,27.9,28.0,474.0,297,198.0,221.0,55.0,211.0,441.0,47.8,230.0,314.0,75.0,239.0,246,720.0,478.0,5.0,
265,David García,es ESP,DF,30-029,24.7,27.0,18,19.0,7.0,1.0,15.0,25.0,60.0,10.0,40.0,19.0,21.0,16,43.0,113.0,2.0,Partidos
266,Ante Budimir,hr CRO,DL,32-236,23.7,19.0,14,2.0,11.0,6.0,3.0,11.0,27.3,8.0,14.0,5.0,9.0,4,23.0,15.0,0.0,Partidos
267,Sergio Herrera,es ESP,PO,30-283,23.9,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,16.0,2.0,Partidos
268,Aimar Oroz,es ESP,CC,22-108,23.1,40.0,25,16.0,19.0,5.0,13.0,36.0,36.1,23.0,24.0,2.0,22.0,13,53.0,10.0,0.0,Partidos
269,Jesús Areso,es ESP,DF,24-256,20.6,30.0,14,16.0,10.0,4.0,19.0,24.0,79.2,5.0,25.0,9.0,16.0,12,42.0,45.0,0.0,Partidos
270,Catena,es ESP,DF,29-138,19.7,22.0,12,16.0,5.0,1.0,10.0,24.0,41.7,14.0,17.0,11.0,6.0,11,33.0,90.0,2.0,Partidos
271,Rubén Peña,es ESP,"DF,DL",32-240,16.6,36.0,22,17.0,14.0,5.0,17.0,42.0,40.5,25.0,25.0,4.0,21.0,21,57.0,32.0,3.0,Partidos
272,Moi Gómez,es ESP,"CC,DL",29-265,17.1,28.0,17,7.0,17.0,4.0,9.0,23.0,39.1,14.0,11.0,1.0,10.0,9,37.0,16.0,0.0,Partidos
273,Lucas Torró,es ESP,CC,29-239,15.2,18.0,12,9.0,5.0,4.0,7.0,21.0,33.3,14.0,5.0,1.0,4.0,28,46.0,30.0,0.0,Partidos
274,Johan Mojica,co COL,"DF,DL",31-206,15.9,26.0,19,9.0,13.0,4.0,13.0,20.0,65.0,7.0,11.0,2.0,9.0,18,44.0,31.0,1.0,Partidos
275,Jon Moncayola,es ESP,CC,25-306,14.7,23.0,15,13.0,9.0,1.0,14.0,31.0,45.2,17.0,22.0,5.0,17.0,12,35.0,19.0,0.0,Partidos
276,Juan Cruz Armada,es ESP,DF,31-230,14.6,21.0,11,13.0,7.0,1.0,13.0,19.0,68.4,6.0,13.0,7.0,6.0,7,28.0,33.0,1.0,Partidos
277,Iker Muñoz,es ESP,CC,21-130,11.9,15.0,11,5.0,10.0,0.0,8.0,16.0,50.0,8.0,7.0,1.0,6.0,6,21.0,27.0,0.0,Partidos
278,Rubén García,es ESP,DL,30-244,10.6,15.0,11,2.0,9.0,4.0,5.0,19.0,26.3,14.0,17.0,3.0,14.0,8,23.0,10.0,0.0,Partidos
279,Ezequiel Ávila,ar ARG,"DL,CC",30-037,9.6,3.0,2,1.0,1.0,1.0,3.0,11.0,27.3,8.0,14.0,0.0,14.0,4,7.0,8.0,0.0,Partidos
280,Jorge Herrando,es ESP,DF,23-015,8.4,11.0,7,9.0,2.0,0.0,3.0,6.0,50.0,3.0,12.0,7.0,5.0,9,20.0,39.0,0.0,Partidos
281,Raúl,es ESP,DL,23-132,8.7,7.0,2,4.0,1.0,2.0,2.0,8.0,25.0,6.0,4.0,1.0,3.0,2,9.0,10.0,0.0,Partidos
282,Pablo Ibáñez,es ESP,CC,25-176,7.8,16.0,8,4.0,7.0,5.0,5.0,13.0,38.5,8.0,14.0,1.0,13.0,5,21.0,7.0,0.0,Partidos
283,José Arnaiz,es ESP,"DL,CC",28-334,6.4,9.0,5,3.0,3.0,3.0,2.0,14.0,14.3,12.0,7.0,0.0,7.0,3,12.0,1.0,0.0,Partidos
284,Unai García,es ESP,DF,32-040,4.9,11.0,8,8.0,2.0,1.0,5.0,6.0,83.3,1.0,5.0,1.0,4.0,6,17.0,14.0,0.0,Partidos
285,Aitor Fernández,es ESP,PO,32-316,4.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,1.0,Partidos
286,Kike Barja,es ESP,"DL,CC",26-348,3.4,6.0,2,2.0,2.0,2.0,3.0,8.0,37.5,5.0,2.0,1.0,1.0,2,8.0,2.0,0.0,Partidos
287,Nacho Vidal,es ESP,"DF,DL",29-050,1.1,5.0,4,2.0,2.0,1.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,0,5.0,6.0,0.0,Partidos
288,Darko Brašanac,rs SRB,CC,32-031,0.5,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0,Partidos
289,Iñigo Arguibide,es ESP,DF,18-330,0.2,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Partidos
290,Total del equipo,,,28.6,28.0,391.0,240,179.0,157.0,55.0,173.0,386.0,44.8,213.0,292.0,81.0,211.0,196,587.0,577.0,12.0,
291,Total del oponente,,,27.5,28.0,372.0,243,211.0,131.0,30.0,176.0,344.0,51.2,168.0,312.0,80.0,232.0,217,589.0,684.0,5.0,
292,Filip Jørgensen,dk DEN,PO,21-333,27.0,3.0,1,3.0,0.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,2,5.0,9.0,3.0,Partidos
293,Alex Baena,es ESP,"CC,DL",22-238,20.8,23.0,14,6.0,10.0,7.0,12.0,33.0,36.4,21.0,16.0,2.0,14.0,10,33.0,9.0,1.0,Partidos
294,Gerard Moreno,es ESP,DL,31-342,21.3,22.0,10,9.0,6.0,7.0,9.0,21.0,42.9,12.0,21.0,7.0,14.0,6,28.0,23.0,0.0,Partidos
295,Daniel Parejo,es ESP,CC,34-333,20.9,33.0,23,13.0,19.0,1.0,15.0,34.0,44.1,19.0,13.0,4.0,9.0,12,45.0,25.0,3.0,Partidos
296,Alexander Sørloth,no NOR,DL,28-100,18.6,4.0,3,0.0,1.0,3.0,2.0,5.0,40.0,3.0,9.0,4.0,5.0,0,4.0,24.0,0.0,Partidos
297,Raúl Albiol,es ESP,DF,38-192,18.2,16.0,9,7.0,8.0,1.0,12.0,21.0,57.1,9.0,26.0,20.0,6.0,13,29.0,91.0,0.0,Partidos
298,Jorge Cuenca,es ESP,DF,24-118,16.6,31.0,24,21.0,8.0,2.0,15.0,23.0,65.2,8.0,23.0,13.0,10.0,17,48.0,104.0,0.0,Partidos
299,Étienne Capoue,fr FRA,CC,35-247,14.7,29.0,17,15.0,11.0,3.0,14.0,21.0,66.7,7.0,19.0,4.0,15.0,21,50.0,24.0,1.0,Partidos
300,Alberto Moreno,es ESP,"DF,CC",31-253,13.1,25.0,17,16.0,7.0,2.0,8.0,24.0,33.3,16.0,8.0,2.0,6.0,19,44.0,26.0,0.0,Partidos
