,Jugador,País,Posc,Edad,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
182,Hugo Duro,es ESP,DL,24-125,24.9,2,0,0,28,71,9,7,4,7,2.0,0.0,0,70.0,42.0,80.0,34.4,Partidos
183,Francisco Perez,es ESP,"CC,DL",21-187,19.5,4,0,0,29,20,8,42,11,17,0.0,0.0,0,95.0,3.0,15.0,16.7,Partidos
184,Cristhian Mosquera,co COL,DF,19-261,23.2,2,0,0,18,16,0,1,25,20,0.0,0.0,0,100.0,41.0,50.0,45.1,Partidos
185,José Luis Gayà,es ESP,DF,28-294,19.0,2,0,0,22,11,1,78,10,36,0.0,0.0,0,107.0,11.0,9.0,55.0,Partidos
186,Diego López,es ESP,"DL,CC",21-306,19.2,2,0,0,17,24,4,42,11,15,1.0,0.0,0,82.0,27.0,37.0,42.2,Partidos
187,Javier Guerra,es ESP,"CC,DL",21-073,19.4,3,1,0,32,27,1,12,10,16,0.0,0.0,0,118.0,11.0,24.0,31.4,Partidos
188,Thierry Correia,pt POR,DF,25-005,15.9,2,1,0,26,27,1,33,28,28,0.0,1.0,0,119.0,10.0,20.0,33.3,Partidos
189,Gabriel Paulista,br BRA,DF,33-109,15.5,6,1,1,11,4,0,0,24,7,0.0,0.0,0,70.0,29.0,19.0,60.4,Partidos
190,Dimitri Foulquier,fr FRA,"DF,CC",30-357,14.3,2,0,0,20,13,2,29,10,16,0.0,0.0,0,79.0,6.0,12.0,33.3,Partidos
191,Mouctar Diakhaby,gn GUI,"DF,CC",27-086,11.9,6,0,0,9,2,0,0,11,11,0.0,0.0,0,67.0,25.0,13.0,65.8,Partidos
192,Cenk Özkacar,tr TUR,DF,23-160,9.7,2,0,0,5,3,1,6,9,8,0.0,0.0,1,46.0,17.0,15.0,53.1,Partidos
193,Sergi Canós,es ESP,"CC,DL",27-041,8.5,0,0,0,8,8,1,17,7,8,0.0,0.0,0,44.0,9.0,4.0,69.2,Partidos
194,Hugo Guillamón,es ESP,CC,24-043,11.3,5,0,0,26,16,0,3,9,12,0.0,0.0,0,61.0,13.0,12.0,52.0,Partidos
195,Roman Yaremchuk,ua UKR,DL,28-108,7.7,2,0,0,6,11,13,1,1,2,0.0,0.0,0,22.0,19.0,32.0,37.3,Partidos
196,Selim Amallah,ma MAR,"DL,CC",27-120,6.5,5,1,1,19,22,1,4,10,12,0.0,0.0,0,36.0,10.0,15.0,40.0,Partidos
197,Domingos André Ribeiro Almeida,pt POR,"DL,CC",23-289,5.3,0,0,0,6,12,0,9,2,6,0.0,0.0,0,19.0,1.0,8.0,11.1,Partidos
198,Jesus Vazquez,es ESP,"DF,CC",21-072,3.3,1,0,0,4,5,1,12,0,3,0.0,0.0,0,21.0,4.0,12.0,25.0,Partidos
199,Yarek Hernandis,es ESP,DF,19-062,3.2,1,0,0,2,1,0,0,7,7,,,0,,,,,Partidos
200,Pablo Gozalbez,es ESP,"CC,DL",22-319,1.1,0,0,0,6,2,1,1,1,0,0.0,0.0,0,6.0,1.0,5.0,16.7,Partidos
201,Peter González,do DOM,"CC,DL",21-233,1.1,0,0,0,2,1,0,3,0,1,0.0,0.0,0,7.0,2.0,1.0,66.7,Partidos
202,Alberto Marí,es ESP,"DL,CC",22-247,0.6,0,0,0,5,1,2,0,0,1,0.0,0.0,0,2.0,2.0,9.0,18.2,Partidos
203,Hugo González,es ESP,"CC,DL",21-036,0.6,0,0,0,3,2,0,9,0,1,0.0,0.0,0,6.0,0.0,2.0,0.0,Partidos
204,Mario Dominguez,es ESP,DL,20-033,0.3,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Partidos
205,César Tárrega,es ESP,DF,22-017,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
206,Total del equipo,,,24.8,27.0,52,4,2,349,329,47,411,221,281,3.0,3.0,1,1376.0,333.0,431.0,43.6,
207,Total del oponente,,,27.8,27.0,83,5,0,345,330,64,522,197,288,2.0,5.0,0,1385.0,432.0,336.0,56.3,
208,Álvaro Vallés,es ESP,PO,26-233,28.0,2,0,0,0,6,0,1,0,1,0.0,0.0,0,53.0,6.0,2.0,75.0,Partidos
209,Kirian Rodríguez,es ESP,CC,28-009,25.7,7,0,0,16,32,0,22,17,25,0.0,1.0,0,171.0,12.0,26.0,31.6,Partidos
210,Mika Màrmol,es ESP,DF,21-256,25.5,5,1,1,14,25,1,2,29,31,0.0,1.0,0,138.0,23.0,30.0,43.4,Partidos
211,Munir El Haddadi,ma MAR,DL,28-195,22.9,3,0,0,22,58,16,29,10,21,0.0,0.0,0,75.0,17.0,33.0,34.0,Partidos
212,Sergi Cardona,es ESP,DF,24-250,25.1,9,0,0,44,51,3,70,40,44,0.0,0.0,0,158.0,43.0,27.0,61.4,Partidos
213,Javier Muñoz,es ESP,CC,29-015,22.5,6,0,0,30,12,1,36,14,16,0.0,1.0,0,93.0,5.0,13.0,27.8,Partidos
214,Álex Suárez,es ESP,DF,30-362,19.8,5,0,0,19,24,1,10,13,25,0.0,1.0,0,83.0,30.0,32.0,48.4,Partidos
215,Saúl Coco,gq EQG,DF,25-034,18.4,5,0,0,15,15,0,1,15,13,0.0,0.0,1,85.0,46.0,28.0,62.2,Partidos
216,Máximo Perrone,ar ARG,CC,21-067,14.2,5,0,0,23,11,0,0,24,19,0.0,0.0,0,103.0,6.0,24.0,20.0,Partidos
217,Enzo Loiodice,fr FRA,CC,23-108,15.3,2,0,0,25,30,1,20,11,25,0.0,0.0,0,93.0,24.0,22.0,52.2,Partidos
218,Sandro Ramírez,es ESP,DL,28-249,13.3,1,0,0,9,25,9,54,1,7,1.0,0.0,0,42.0,5.0,5.0,50.0,Partidos
219,Alberto Moleiro,es ESP,"DL,CC",20-166,11.4,0,0,0,9,9,1,19,6,5,0.0,0.0,0,38.0,1.0,5.0,16.7,Partidos
220,Julian Araujo,mx MEX,DF,22-214,13.5,4,0,0,12,4,2,21,10,18,0.0,0.0,0,65.0,23.0,21.0,52.3,Partidos
221,Marvin,es ESP,"DL,DF",23-255,13.2,3,0,0,27,17,2,58,8,18,0.0,1.0,0,79.0,10.0,24.0,29.4,Partidos
222,Jonathan Viera,es ESP,"CC,DL",34-145,6.9,1,0,0,3,16,1,16,0,3,0.0,0.0,0,28.0,1.0,4.0,20.0,Partidos
223,Sory Kaba,gn GUI,DL,28-230,6.6,2,0,0,13,14,8,0,0,0,0.0,0.0,0,15.0,25.0,29.0,46.3,Partidos
224,Marc Cardona,es ESP,DL,28-250,6.0,3,0,0,8,16,11,5,1,5,1.0,0.0,0,19.0,6.0,12.0,33.3,Partidos
225,Francisco Jesús Crespo García,es ESP,DL,27-229,5.4,1,0,0,6,4,0,29,2,8,0.0,0.0,0,21.0,4.0,2.0,66.7,Partidos
226,Daley Sinkgraven,nl NED,DF,28-254,2.9,0,1,0,4,1,0,4,3,4,0.0,1.0,0,14.0,3.0,1.0,75.0,Partidos
227,Juan Herzog,es ESP,DF,20-306,2.2,1,0,0,1,1,0,0,2,4,0.0,0.0,0,9.0,2.0,2.0,50.0,Partidos
228,Álvaro Lemos,es ESP,DF,30-350,2.2,1,0,0,2,1,0,5,2,1,0.0,0.0,0,9.0,5.0,1.0,83.3,Partidos
229,Cristian Herrera,es ESP,"DL,CC",33-001,1.7,1,0,0,3,2,2,1,0,1,0.0,0.0,0,9.0,0.0,2.0,0.0,Partidos
230,José Campaña,es ESP,CC,30-288,1.1,0,0,0,0,3,0,3,1,2,0.0,0.0,0,11.0,2.0,0.0,100.0,Partidos
231,Eric Curbelo,es ESP,DF,30-060,1.0,0,0,0,0,0,0,0,2,1,0.0,0.0,0,10.0,0.0,1.0,0.0,Partidos
232,Omenuke Mfulu,cd COD,"CC,DL",29-360,0.9,1,0,0,0,2,0,0,2,3,0.0,0.0,0,7.0,3.0,4.0,42.9,Partidos
233,Benito Ramírez,es ESP,"DL,CC",28-247,1.9,0,0,0,2,1,2,21,1,2,0.0,0.0,0,12.0,0.0,8.0,0.0,Partidos
234,Iñaki González,es ESP,CC,19-231,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
235,Fabio González,es ESP,CC,27-031,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Partidos
236,Total del equipo,,,26.2,28.0,68,3,1,307,380,61,427,214,302,2.0,6.0,1,1441.0,302.0,358.0,45.8,
237,Total del oponente,,,27.9,28.0,70,4,2,399,280,127,544,246,297,5.0,4.0,0,1494.0,358.0,302.0,54.2,
238,David García,es ESP,DF,30-029,24.7,5,0,0,32,10,1,2,16,18,0.0,1.0,0,125.0,84.0,33.0,71.8,Partidos
239,Ante Budimir,hr CRO,DL,32-236,23.7,4,0,0,36,23,21,7,4,14,2.0,0.0,0,48.0,144.0,114.0,55.8,Partidos
240,Sergio Herrera,es ESP,PO,30-283,23.9,2,0,0,0,5,0,0,0,1,0.0,0.0,0,16.0,7.0,0.0,100.0,Partidos
241,Aimar Oroz,es ESP,CC,22-108,23.1,3,0,0,38,40,2,10,13,25,0.0,0.0,0,127.0,18.0,37.0,32.7,Partidos
242,Jesús Areso,es ESP,DF,24-256,20.6,2,0,0,21,12,1,78,12,14,0.0,0.0,0,94.0,19.0,15.0,55.9,Partidos
243,Catena,es ESP,DF,29-138,19.7,6,1,0,35,14,1,0,11,12,0.0,1.0,0,95.0,44.0,21.0,67.7,Partidos
244,Rubén Peña,es ESP,"DF,DL",32-240,16.6,2,0,0,21,17,1,80,21,22,0.0,0.0,0,101.0,13.0,34.0,27.7,Partidos
245,Moi Gómez,es ESP,"CC,DL",29-265,17.1,3,0,0,26,24,1,39,9,17,0.0,0.0,0,100.0,9.0,13.0,40.9,Partidos
246,Lucas Torró,es ESP,CC,29-239,15.2,4,0,0,32,14,0,1,28,12,0.0,0.0,0,93.0,50.0,27.0,64.9,Partidos
247,Johan Mojica,co COL,"DF,DL",31-206,15.9,1,0,0,18,11,0,93,18,19,0.0,0.0,0,125.0,10.0,11.0,47.6,Partidos
248,Jon Moncayola,es ESP,CC,25-306,14.7,2,0,0,19,8,0,68,12,15,0.0,0.0,0,69.0,13.0,11.0,54.2,Partidos
249,Juan Cruz Armada,es ESP,DF,31-230,14.6,3,0,0,17,3,1,15,7,11,0.0,0.0,0,62.0,17.0,14.0,54.8,Partidos
250,Iker Muñoz,es ESP,CC,21-130,11.9,2,0,0,19,32,0,6,6,11,0.0,0.0,0,63.0,36.0,27.0,57.1,Partidos
251,Rubén García,es ESP,DL,30-244,10.6,0,0,0,14,19,4,56,8,11,0.0,0.0,0,53.0,19.0,20.0,48.7,Partidos
252,Ezequiel Ávila,ar ARG,"DL,CC",30-037,9.6,3,2,0,8,20,4,79,4,2,0.0,0.0,0,37.0,10.0,20.0,33.3,Partidos
253,Jorge Herrando,es ESP,DF,23-015,8.4,2,0,0,10,5,0,0,9,7,0.0,0.0,0,24.0,9.0,13.0,40.9,Partidos
254,Raúl,es ESP,DL,23-132,8.7,3,0,0,10,9,7,4,2,2,0.0,0.0,0,17.0,32.0,45.0,41.6,Partidos
255,Pablo Ibáñez,es ESP,CC,25-176,7.8,4,0,0,17,9,1,9,5,8,1.0,0.0,0,41.0,21.0,26.0,44.7,Partidos
256,José Arnaiz,es ESP,"DL,CC",28-334,6.4,1,0,0,5,14,3,29,3,5,0.0,0.0,0,33.0,6.0,8.0,42.9,Partidos
257,Unai García,es ESP,DF,32-040,4.9,3,1,1,6,1,0,3,6,8,0.0,0.0,0,15.0,3.0,4.0,42.9,Partidos
258,Aitor Fernández,es ESP,PO,32-316,4.1,2,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,Partidos
259,Kike Barja,es ESP,"DL,CC",26-348,3.4,3,0,0,8,4,1,23,2,2,0.0,0.0,0,16.0,3.0,5.0,37.5,Partidos
260,Nacho Vidal,es ESP,"DF,DL",29-050,1.1,0,0,0,0,1,0,0,0,4,0.0,0.0,0,3.0,2.0,4.0,33.3,Partidos
261,Darko Brašanac,rs SRB,CC,32-031,0.5,0,0,0,1,0,0,1,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,Partidos
262,Iñigo Arguibide,es ESP,DF,18-330,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Partidos
263,Total del equipo,,,28.6,28.0,60,4,1,394,295,49,603,196,240,3.0,2.0,0,1362.0,571.0,504.0,53.1,
264,Total del oponente,,,27.5,28.0,67,6,2,312,379,95,523,217,243,1.0,4.0,0,1438.0,503.0,567.0,47.0,
265,Filip Jørgensen,dk DEN,PO,21-333,27.0,3,0,0,1,3,0,0,2,1,0.0,1.0,0,27.0,11.0,0.0,100.0,Partidos
266,Alex Baena,es ESP,"CC,DL",22-238,20.8,8,1,0,38,43,6,130,10,14,0.0,0.0,0,96.0,6.0,11.0,35.3,Partidos
267,Gerard Moreno,es ESP,DL,31-342,21.3,0,0,0,19,33,15,20,6,10,0.0,0.0,0,77.0,25.0,24.0,51.0,Partidos
268,Daniel Parejo,es ESP,CC,34-333,20.9,3,0,0,14,43,0,44,12,23,0.0,0.0,0,129.0,22.0,7.0,75.9,Partidos
269,Alexander Sørloth,no NOR,DL,28-100,18.6,3,0,0,24,14,16,5,0,3,1.0,0.0,0,43.0,53.0,32.0,62.4,Partidos
270,Raúl Albiol,es ESP,DF,38-192,18.2,4,0,0,16,6,1,0,13,9,0.0,0.0,0,61.0,44.0,25.0,63.8,Partidos
271,Jorge Cuenca,es ESP,DF,24-118,16.6,5,0,0,21,10,0,6,17,24,0.0,0.0,0,61.0,54.0,30.0,64.3,Partidos
272,Étienne Capoue,fr FRA,CC,35-247,14.7,7,0,0,20,39,2,4,21,17,1.0,0.0,0,82.0,21.0,17.0,55.3,Partidos
273,Alberto Moreno,es ESP,"DF,CC",31-253,13.1,4,2,2,21,13,5,37,19,17,1.0,0.0,0,60.0,9.0,12.0,42.9,Partidos
274,Santi Comesaña,es ESP,CC,27-161,12.5,6,0,0,25,18,1,4,18,17,0.0,0.0,0,61.0,23.0,21.0,52.3,Partidos
275,Alfonso Pedraza,es ESP,DF,27-340,10.6,4,1,0,12,15,4,52,11,8,0.0,0.0,0,45.0,5.0,7.0,41.7,Partidos
276,Ilias Akhomach,es ESP,"CC,DL",19-333,12.7,3,0,0,32,26,2,23,9,19,0.0,0.0,0,53.0,3.0,7.0,30.0,Partidos
277,Juan Foyth,ar ARG,DF,26-062,11.8,1,0,0,18,7,0,18,12,15,0.0,0.0,0,58.0,26.0,16.0,61.9,Partidos
278,Adrià Altimira,es ESP,"DF,CC",22-352,8.6,3,0,0,12,4,0,5,5,7,0.0,1.0,0,42.0,2.0,7.0,22.2,Partidos
279,José Luis Morales,es ESP,"DL,CC",36-235,9.9,0,0,0,3,4,11,10,6,3,0.0,0.0,0,31.0,1.0,9.0,10.0,Partidos
280,Kiko Femenía,es ESP,DF,33-041,9.6,4,0,0,11,3,0,15,18,15,0.0,0.0,0,58.0,7.0,9.0,43.8,Partidos
281,Aïssa Mandi,dz ALG,DF,32-144,8.6,2,0,0,4,4,0,0,7,5,0.0,1.0,0,35.0,9.0,7.0,56.3,Partidos
282,Yeremi Pino,es ESP,"CC,DL",21-146,5.3,4,0,0,22,9,3,7,5,18,0.0,0.0,0,29.0,8.0,10.0,44.4,Partidos
283,Eric Bailly,ci CIV,DF,29-337,6.3,3,0,0,5,3,0,0,8,3,0.0,0.0,1,35.0,11.0,3.0,78.6,Partidos
284,Francis Coquelin,fr FRA,CC,32-306,6.3,1,0,0,8,5,0,1,14,5,0.0,0.0,0,29.0,8.0,5.0,61.5,Partidos
285,Matteo Gabbia,it ITA,DF,24-145,5.3,2,0,0,9,3,0,0,8,6,0.0,0.0,0,20.0,17.0,5.0,77.3,Partidos
286,Ramón Terrats,es ESP,CC,23-148,6.9,3,0,0,13,13,0,20,3,6,0.0,1.0,0,29.0,4.0,4.0,50.0,Partidos
287,Yerson Mosquera,co COL,DF,22-317,4.2,2,0,0,2,7,0,1,2,3,0.0,0.0,0,18.0,5.0,6.0,45.5,Partidos
288,Gonçalo Guedes,pt POR,"DL,CC",27-106,3.8,0,0,0,0,6,2,9,0,2,0.0,0.0,0,7.0,1.0,8.0,11.1,Partidos
289,Ben Brereton,cl CHI,"DL,CC",24-331,3.0,2,0,0,5,4,2,4,0,2,0.0,0.0,0,13.0,1.0,2.0,33.3,Partidos
290,Carlos Romero,es ESP,DF,22-137,2.7,1,0,0,2,6,0,10,1,5,0.0,0.0,0,25.0,1.0,2.0,33.3,Partidos
291,Bertrand Traoré,bf BFA,CC,28-190,1.7,1,0,0,2,4,1,3,0,1,0.0,0.0,0,4.0,1.0,1.0,50.0,Partidos
292,Manu Trigueros,es ESP,CC,32-149,2.3,0,0,0,4,2,1,2,2,4,0.0,0.0,0,9.0,4.0,1.0,80.0,Partidos
293,Denis Suárez,es ESP,"CC,DL",30-068,1.5,0,0,0,4,2,1,4,0,0,0.0,0.0,0,8.0,0.0,1.0,0.0,Partidos
294,Pepe Reina,es ESP,PO,41-196,1.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
295,Stefan Lekovic,rs SRB,DF,20-065,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
296,Pascu,es ESP,DL,20-340,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Partidos
297,Total del equipo,,,28.6,28.0,80,5,2,367,349,73,434,229,262,3.0,4.0,1,1246.0,382.0,290.0,56.8,
298,Total del oponente,,,27.8,28.0,64,1,1,368,346,64,679,255,330,2.0,4.0,1,1410.0,290.0,382.0,43.2,
299,David Soria,es ESP,PO,30-345,28.0,3,0,0,1,1,0,0,0,0,0.0,1.0,0,40.0,3.0,0.0,100.0,Partidos
300,Nemanja Maksimović,rs SRB,CC,29-048,26.4,3,0,0,16,9,0,4,39,33,0.0,1.0,0,113.0,60.0,45.0,57.1,Partidos
301,Borja Mayoral,es ESP,DL,26-344,23.9,2,0,0,31,32,14,22,4,5,1.0,0.0,0,69.0,48.0,71.0,40.3,Partidos
302,Gastón Álvarez,uy URU,DF,23-356,21.7,5,0,0,29,8,1,20,32,27,0.0,0.0,0,112.0,38.0,22.0,63.3,Partidos
303,Djené,tg TOG,"DF,CC",32-074,19.8,13,1,1,43,26,1,23,16,12,0.0,0.0,0,123.0,27.0,22.0,55.1,Partidos
304,Diego Rico,es ESP,DF,31-020,21.6,7,0,0,17,46,2,95,33,34,0.0,0.0,0,127.0,23.0,17.0,57.5,Partidos
305,Mason Greenwood,eng ENG,"CC,DL",22-165,19.6,5,1,0,30,22,1,82,3,2,1.0,0.0,0,85.0,4.0,13.0,23.5,Partidos
306,Jaime Mata,es ESP,"DL,CC",35-142,14.1,8,1,1,42,17,20,37,15,14,0.0,0.0,0,48.0,34.0,34.0,50.0,Partidos
307,Luis Milla,es ESP,CC,29-159,15.0,5,0,0,28,23,0,80,23,24,0.0,0.0,0,115.0,22.0,15.0,59.5,Partidos
308,Omar Alderete,py PAR,DF,27-079,14.9,5,1,0,20,8,1,2,7,14,0.0,0.0,0,77.0,39.0,28.0,58.2,Partidos
309,Damián Suárez,uy URU,DF,35-322,14.4,7,1,0,24,12,0,49,10,21,0.0,1.0,0,77.0,9.0,9.0,50.0,Partidos
310,Juanmi Latasa,es ESP,DL,22-357,13.6,5,1,1,53,27,4,2,3,4,1.0,1.0,0,21.0,122.0,98.0,55.5,Partidos
311,Iglesias,es ESP,"DF,DL",25-255,13.4,3,0,0,15,5,1,54,15,20,0.0,0.0,0,67.0,10.0,9.0,52.6,Partidos
312,Domingos Duarte,pt POR,DF,29-004,10.1,5,2,1,8,8,0,1,8,4,0.0,0.0,0,45.0,14.0,10.0,58.3,Partidos
313,Carles Aleñá,es ESP,"CC,DL",26-069,9.5,4,0,0,15,15,3,29,3,6,0.0,0.0,0,43.0,10.0,18.0,35.7,Partidos
314,Carmona,es ESP,"CC,DF",22-045,8.3,6,0,0,26,11,3,12,11,8,0.0,0.0,0,45.0,12.0,15.0,44.4,Partidos
315,Stefan Mitrović,rs SRB,DF,33-297,7.8,3,0,0,13,2,0,0,6,3,0.0,1.0,0,27.0,11.0,20.0,35.5,Partidos
316,Jordi,es ESP,CC,23-069,5.3,0,0,0,15,5,1,18,7,10,0.0,1.0,0,29.0,9.0,17.0,34.6,Partidos
317,Mauro Arambarri,uy URU,CC,28-166,3.8,2,0,0,18,3,0,6,2,2,0.0,0.0,0,27.0,5.0,8.0,38.5,Partidos
318,Ilaix Moriba,gn GUI,CC,21-055,2.6,2,0,0,9,10,0,1,3,1,0.0,0.0,0,9.0,4.0,3.0,57.1,Partidos
319,Óscar Rodríguez Arnaiz,es ESP,"CC,DL",25-260,4.1,5,0,0,10,6,0,11,4,5,0.0,0.0,0,31.0,4.0,14.0,22.2,Partidos
320,Jesús Santiago,es ESP,CC,19-294,1.9,2,0,0,6,1,0,2,0,1,0.0,0.0,0,8.0,2.0,2.0,50.0,Partidos
321,Enes Ünal,tr TUR,"DL,CC",26-309,1.6,0,0,0,5,5,4,1,0,0,0.0,0.0,0,5.0,3.0,13.0,18.8,Partidos
322,Fabrizio Angileri,ar ARG,"DF,CC",29-365,1.1,2,1,0,0,1,0,5,2,0,0.0,0.0,0,11.0,4.0,4.0,50.0,Partidos
323,Portu,es ESP,DL,31-298,1.1,1,0,0,0,0,1,2,0,3,0.0,0.0,0,4.0,1.0,3.0,25.0,Partidos
324,Anthony Lozano,hn HON,"CC,DL",30-324,1.0,1,0,0,6,1,1,1,0,0,0.0,0.0,0,2.0,7.0,7.0,50.0,Partidos
325,Santiago García,,DL,22-198,0.3,0,0,0,1,1,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,,Partidos
326,Gorka Rivera Alonso,es ESP,DF,19-226,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
327,Total del equipo,,,28.3,28.0,104,9,4,481,305,58,559,246,253,3.0,6.0,0,1365.0,525.0,517.0,50.4,
328,Total del oponente,,,27.8,28.0,68,7,2,324,463,116,464,208,247,5.0,6.0,0,1454.0,514.0,524.0,49.5,
329,Antonio Sivera,es ESP,PO,27-216,28.0,2,0,0,0,2,0,0,0,0,0.0,0.0,0,20.0,6.0,1.0,85.7,Partidos
330,Ander Guevara,es ESP,CC,26-251,26.4,6,0,0,42,27,0,8,12,26,1.0,0.0,0,192.0,37.0,35.0,51.4,Partidos
331,Luis Rioja,es ESP,"DL,CC",30-150,24.4,3,0,0,21,18,9,159,16,18,1.0,0.0,0,117.0,10.0,20.0,33.3,Partidos
332,Andoni Gorosabel,es ESP,DF,27-223,25.6,5,0,0,23,31,0,60,21,29,0.0,0.0,0,133.0,21.0,45.0,31.8,Partidos
333,Jon Guridi,es ESP,CC,29-015,22.4,1,0,0,14,22,2,17,13,18,0.0,0.0,0,104.0,35.0,41.0,46.1,Partidos
334,Rafa Marín,es ESP,DF,21-300,20.2,4,0,0,22,12,0,1,19,16,0.0,0.0,1,94.0,47.0,36.0,56.6,Partidos
335,Antonio Blanco,es ESP,CC,23-235,19.5,1,1,0,23,30,0,12,24,28,0.0,0.0,0,126.0,15.0,14.0,51.7,Partidos
336,Abdel Abqar,ma MAR,DF,25-004,18.2,7,0,0,26,19,1,1,15,9,0.0,2.0,1,82.0,32.0,24.0,57.1,Partidos
337,Javi López,es ESP,DF,22-073,18.8,2,0,0,20,16,1,82,4,8,0.0,1.0,0,86.0,24.0,17.0,58.5,Partidos
338,Samuel Omorodion,es ESP,DL,19-314,17.1,4,0,0,22,22,12,2,1,3,1.0,0.0,0,40.0,39.0,65.0,37.5,Partidos
339,Rubén Duarte,es ESP,DF,28-148,16.0,5,0,0,24,22,0,56,20,19,0.0,0.0,0,82.0,18.0,24.0,42.9,Partidos
340,Alex Sola,es ESP,"DL,CC",24-279,11.7,2,0,0,10,21,9,67,9,14,0.0,1.0,0,66.0,15.0,13.0,53.6,Partidos
341,Aleksandar Sedlar,rs SRB,DF,32-092,10.5,2,0,0,14,4,1,0,13,10,0.0,1.0,0,49.0,17.0,18.0,48.6,Partidos
342,Kiké,es ESP,"DL,CC",34-110,11.2,3,0,0,16,30,6,6,0,2,2.0,0.0,0,40.0,36.0,45.0,44.4,Partidos
343,Abderrahman Rebbach,dz ALG,"DL,CC",25-216,7.0,1,0,0,12,8,2,55,3,4,0.0,0.0,0,29.0,6.0,13.0,31.6,Partidos
344,Ianis Hagi,ro ROU,"CC,DL",25-144,6.4,2,0,0,7,17,1,47,2,8,0.0,0.0,0,16.0,7.0,7.0,50.0,Partidos
345,Carlos Benavídez,uy URU,CC,25-350,7.4,2,0,0,26,6,1,3,14,19,0.0,2.0,0,44.0,25.0,24.0,51.0,Partidos
346,Nahuel Tenaglia,ar ARG,DF,28-022,6.2,2,0,0,8,5,2,6,8,10,0.0,0.0,0,21.0,15.0,13.0,53.6,Partidos
347,Carlos Vicente,es ESP,"DL,CC",24-326,5.4,1,0,0,7,12,4,37,2,3,0.0,0.0,0,18.0,10.0,15.0,40.0,Partidos
348,Xeber,es ESP,"DL,CC",26-262,3.0,1,0,0,9,0,1,14,1,4,0.0,0.0,0,16.0,2.0,4.0,33.3,Partidos
349,Miguel,es ESP,"DL,CC",24-193,0.7,0,0,0,2,3,0,0,0,0,0.0,0.0,0,3.0,1.0,2.0,33.3,Partidos
350,Giuliano Simeone,ar ARG,DL,21-087,0.8,0,0,0,1,0,0,1,0,1,0.0,0.0,0,5.0,0.0,3.0,0.0,Partidos
351,Mamadou Sylla,sn SEN,"DL,CC",29-360,0.2,0,0,0,1,2,0,0,0,0,0.0,0.0,0,1.0,3.0,3.0,50.0,Partidos
352,Jon Karrikaburu,es ESP,"CC,DL",21-177,0.2,0,0,0,1,0,1,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Partidos
353,Tomás Mendes,es ESP,CC,19-114,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Partidos
354,Unai Ropero,es ESP,CC,22-115,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
355,Joaquín Panichelli,ar ARG,DL,21-159,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
356,Victor Parada,es ESP,"DL,CC",21-345,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,,Partidos
357,Total del equipo,,,26.4,28.0,56,1,0,352,329,53,634,197,250,5.0,7.0,2,1388.0,421.0,482.0,46.6,
358,Total del oponente,,,28.1,28.0,77,6,2,353,332,40,542,170,259,6.0,5.0,3,1339.0,479.0,421.0,53.2,
359,Lucas Ocampos,ar ARG,"DL,CC",29-247,23.0,4,0,0,25,53,7,97,12,29,0.0,0.0,0,113.0,48.0,46.0,51.1,Partidos
360,Loïc Bade,fr FRA,DF,23-338,18.0,3,1,0,18,6,1,2,27,28,0.0,0.0,0,109.0,58.0,25.0,69.9,Partidos
361,Youssef En-Nesyri,ma MAR,DL,26-287,19.0,3,0,0,15,19,19,3,4,5,0.0,0.0,0,22.0,53.0,69.0,43.4,Partidos
362,Sergio Ramos,es ESP,DF,37-350,18.0,5,1,0,18,19,7,1,29,19,0.0,1.0,1,100.0,54.0,33.0,62.1,Partidos
363,Djibril Sow,ch SUI,CC,27-037,16.1,6,0,0,27,19,2,5,17,21,0.0,0.0,0,70.0,13.0,18.0,41.9,Partidos
