,Jugador,País,Posc,Edad,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
181,Assane Diao,es ESP,DL,18-186,11.4,4,0,0,12,22,1,9,7,11,0.0,0.0,0,45.0,14.0,22.0,38.9,Partidos
182,Rodri,es ESP,"DL,CC",23-300,9.6,0,0,0,4,20,3,27,7,8,0.0,0.0,0,44.0,0.0,9.0,0.0,Partidos
183,Aitor Ruibal,es ESP,"DF,DL",27-355,8.6,4,0,0,14,10,1,24,11,21,0.0,1.0,0,60.0,3.0,8.0,27.3,Partidos
184,Sokratis Papastathopoulos,gr GRE,DF,35-276,7.8,5,0,0,8,5,0,0,6,4,0.0,0.0,1,27.0,22.0,15.0,59.5,Partidos
185,Claudio Bravo,cl CHI,PO,40-333,7.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,14.0,2.0,0.0,100.0,Partidos
186,Johnny Cardoso,us USA,CC,22-173,6.9,2,0,0,10,8,0,0,18,15,1.0,0.0,0,48.0,19.0,10.0,65.5,Partidos
187,Luiz Henrique,br BRA,DL,23-069,6.8,1,0,0,7,15,0,24,5,11,0.0,0.0,0,29.0,15.0,14.0,51.7,Partidos
188,Nabil Fekir,fr FRA,"CC,DL",30-237,6.5,0,0,0,10,15,3,32,5,6,0.0,0.0,0,25.0,6.0,2.0,75.0,Partidos
189,Youssouf Sabaly,sn SEN,DF,31-006,6.0,0,0,0,2,3,0,12,7,7,0.0,0.0,0,34.0,5.0,4.0,55.6,Partidos
190,Sergi Altimira,es ESP,CC,22-199,5.6,1,0,0,7,6,0,1,8,8,0.0,0.0,0,38.0,2.0,3.0,40.0,Partidos
191,Abdessamad Ezzalzouli,ma MAR,DL,22-085,7.6,1,0,0,7,11,2,30,4,10,0.0,0.0,0,33.0,12.0,14.0,46.2,Partidos
192,Pablo Fornals,es ESP,"DL,CC",28-018,5.0,0,0,0,5,4,1,28,9,3,0.0,0.0,0,31.0,5.0,6.0,45.5,Partidos
193,Andrés Guardado,mx MEX,CC,37-165,5.0,2,0,0,10,3,0,11,6,12,0.0,0.0,0,37.0,4.0,7.0,36.4,Partidos
194,Borja Iglesias,es ESP,DL,31-054,4.5,2,0,0,7,5,7,1,2,0,0.0,1.0,0,7.0,6.0,7.0,46.2,Partidos
195,Luiz Felipe,it ITA,DF,26-355,4.0,1,0,0,2,1,0,0,4,3,0.0,0.0,0,23.0,2.0,6.0,25.0,Partidos
196,Ezequiel Ávila,ar ARG,DL,30-034,3.1,3,1,1,3,12,0,12,1,1,0.0,0.0,0,8.0,4.0,4.0,50.0,Partidos
197,William Carvalho,pt POR,CC,31-339,5.7,1,0,0,9,5,0,4,5,9,0.0,0.0,0,39.0,5.0,3.0,62.5,Partidos
198,Marc Bartra,es ESP,DF,33-056,2.5,1,0,0,4,1,0,0,3,3,0.0,0.0,0,15.0,4.0,4.0,50.0,Partidos
199,Francisco Barbosa,es ESP,PO,24-309,2.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Partidos
200,Juan Cruz,es ESP,DL,23-321,0.8,0,0,0,2,2,0,0,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,Partidos
201,Ricardo Visus,es ESP,DF,22-322,0.8,0,0,0,3,1,0,0,1,0,,,0,,,,,Partidos
202,Pablo Busto,es ESP,DF,18-178,0.5,0,0,0,0,1,0,1,1,1,0.0,0.0,0,1.0,0.0,0.0,,Partidos
203,Paul Akouokou,ci CIV,CC,26-082,0.3,0,0,0,1,1,0,0,1,3,0.0,0.0,0,0.0,0.0,0.0,,Partidos
204,Cédric Bakambu,cd COD,DL,32-335,0.3,0,0,0,1,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
205,Total del equipo,,,28.4,28.0,65,3,1,316,363,46,488,254,311,1.0,6.0,3,1454.0,351.0,377.0,48.2,
206,Total del oponente,,,27.8,28.0,71,4,3,380,309,80,533,227,344,6.0,1.0,1,1401.0,376.0,351.0,51.7,
207,Giorgi Mamardashvili,ge GEO,PO,23-164,27.0,2,0,0,2,3,0,0,0,2,0.0,1.0,0,21.0,6.0,1.0,85.7,Partidos
208,José Luis García Vayá,es ESP,CC,25-213,26.7,3,0,0,43,27,1,101,31,45,0.0,1.0,0,178.0,44.0,35.0,55.7,Partidos
209,Hugo Duro,es ESP,DL,24-122,24.9,2,0,0,28,71,9,7,4,7,2.0,0.0,0,70.0,42.0,80.0,34.4,Partidos
210,Francisco Perez,es ESP,"CC,DL",21-184,19.5,4,0,0,29,20,8,42,11,17,0.0,0.0,0,95.0,3.0,15.0,16.7,Partidos
211,Cristhian Mosquera,co COL,DF,19-258,23.2,2,0,0,18,16,0,1,25,20,0.0,0.0,0,100.0,41.0,50.0,45.1,Partidos
212,José Luis Gayà,es ESP,DF,28-291,19.0,2,0,0,22,11,1,78,10,36,0.0,0.0,0,107.0,11.0,9.0,55.0,Partidos
213,Diego López,es ESP,"DL,CC",21-303,19.2,2,0,0,17,24,4,42,11,15,1.0,0.0,0,82.0,27.0,37.0,42.2,Partidos
214,Javier Guerra,es ESP,"CC,DL",21-070,19.4,3,1,0,32,27,1,12,10,16,0.0,0.0,0,118.0,11.0,24.0,31.4,Partidos
215,Thierry Correia,pt POR,DF,25-002,15.9,2,1,0,26,27,1,33,28,28,0.0,1.0,0,119.0,10.0,20.0,33.3,Partidos
216,Gabriel Paulista,br BRA,DF,33-106,15.5,6,1,1,11,4,0,0,24,7,0.0,0.0,0,70.0,29.0,19.0,60.4,Partidos
217,Dimitri Foulquier,fr FRA,"DF,CC",30-354,14.3,2,0,0,20,13,2,29,10,16,0.0,0.0,0,79.0,6.0,12.0,33.3,Partidos
218,Mouctar Diakhaby,gn GUI,"DF,CC",27-083,11.9,6,0,0,9,2,0,0,11,11,0.0,0.0,0,67.0,25.0,13.0,65.8,Partidos
219,Cenk Özkacar,tr TUR,DF,23-157,9.7,2,0,0,5,3,1,6,9,8,0.0,0.0,1,46.0,17.0,15.0,53.1,Partidos
220,Sergi Canós,es ESP,"CC,DL",27-038,8.5,0,0,0,8,8,1,17,7,8,0.0,0.0,0,44.0,9.0,4.0,69.2,Partidos
221,Hugo Guillamón,es ESP,CC,24-040,11.3,5,0,0,26,16,0,3,9,12,0.0,0.0,0,61.0,13.0,12.0,52.0,Partidos
222,Roman Yaremchuk,ua UKR,DL,28-105,7.7,2,0,0,6,11,13,1,1,2,0.0,0.0,0,22.0,19.0,32.0,37.3,Partidos
223,Selim Amallah,ma MAR,"DL,CC",27-117,6.5,5,1,1,19,22,1,4,10,12,0.0,0.0,0,36.0,10.0,15.0,40.0,Partidos
224,Domingos André Ribeiro Almeida,pt POR,"DL,CC",23-286,5.3,0,0,0,6,12,0,9,2,6,0.0,0.0,0,19.0,1.0,8.0,11.1,Partidos
225,Jesus Vazquez,es ESP,"DF,CC",21-069,3.3,1,0,0,4,5,1,12,0,3,0.0,0.0,0,21.0,4.0,12.0,25.0,Partidos
226,Yarek Hernandis,es ESP,DF,19-059,3.2,1,0,0,2,1,0,0,7,7,,,0,,,,,Partidos
227,Pablo Gozalbez,es ESP,"CC,DL",22-316,1.1,0,0,0,6,2,1,1,1,0,0.0,0.0,0,6.0,1.0,5.0,16.7,Partidos
228,Peter González,do DOM,"CC,DL",21-230,1.1,0,0,0,2,1,0,3,0,1,0.0,0.0,0,7.0,2.0,1.0,66.7,Partidos
229,Alberto Marí,es ESP,"DL,CC",22-244,0.6,0,0,0,5,1,2,0,0,1,0.0,0.0,0,2.0,2.0,9.0,18.2,Partidos
230,Hugo González,es ESP,"CC,DL",21-033,0.6,0,0,0,3,2,0,9,0,1,0.0,0.0,0,6.0,0.0,2.0,0.0,Partidos
231,Mario Dominguez,es ESP,DL,20-030,0.3,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Partidos
232,César Tárrega,es ESP,DF,22-014,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
233,Total del equipo,,,24.8,27.0,52,4,2,349,329,47,411,221,281,3.0,3.0,1,1376.0,333.0,431.0,43.6,
234,Total del oponente,,,27.8,27.0,83,5,0,345,330,64,522,197,288,2.0,5.0,0,1385.0,432.0,336.0,56.3,
235,Álvaro Vallés,es ESP,PO,26-230,28.0,2,0,0,0,6,0,1,0,1,0.0,0.0,0,53.0,6.0,2.0,75.0,Partidos
236,Kirian Rodríguez,es ESP,CC,28-006,25.7,7,0,0,16,32,0,22,17,25,0.0,1.0,0,171.0,12.0,26.0,31.6,Partidos
237,Mika Màrmol,es ESP,DF,21-253,25.5,5,1,1,14,25,1,2,29,31,0.0,1.0,0,138.0,23.0,30.0,43.4,Partidos
238,Munir El Haddadi,ma MAR,DL,28-192,22.9,3,0,0,22,58,16,29,10,21,0.0,0.0,0,75.0,17.0,33.0,34.0,Partidos
239,Sergi Cardona,es ESP,DF,24-247,25.1,9,0,0,44,51,3,70,40,44,0.0,0.0,0,158.0,43.0,27.0,61.4,Partidos
240,Javier Muñoz,es ESP,CC,29-012,22.5,6,0,0,30,12,1,36,14,16,0.0,1.0,0,93.0,5.0,13.0,27.8,Partidos
241,Álex Suárez,es ESP,DF,30-359,19.8,5,0,0,19,24,1,10,13,25,0.0,1.0,0,83.0,30.0,32.0,48.4,Partidos
242,Saúl Coco,gq EQG,DF,25-031,18.4,5,0,0,15,15,0,1,15,13,0.0,0.0,1,85.0,46.0,28.0,62.2,Partidos
243,Máximo Perrone,ar ARG,CC,21-064,14.2,5,0,0,23,11,0,0,24,19,0.0,0.0,0,103.0,6.0,24.0,20.0,Partidos
244,Enzo Loiodice,fr FRA,CC,23-105,15.3,2,0,0,25,30,1,20,11,25,0.0,0.0,0,93.0,24.0,22.0,52.2,Partidos
245,Sandro Ramírez,es ESP,DL,28-246,13.3,1,0,0,9,25,9,54,1,7,1.0,0.0,0,42.0,5.0,5.0,50.0,Partidos
246,Alberto Moleiro,es ESP,"DL,CC",20-163,11.4,0,0,0,9,9,1,19,6,5,0.0,0.0,0,38.0,1.0,5.0,16.7,Partidos
247,Julian Araujo,mx MEX,DF,22-211,13.5,4,0,0,12,4,2,21,10,18,0.0,0.0,0,65.0,23.0,21.0,52.3,Partidos
248,Marvin,es ESP,"DL,DF",23-252,13.2,3,0,0,27,17,2,58,8,18,0.0,1.0,0,79.0,10.0,24.0,29.4,Partidos
249,Jonathan Viera,es ESP,"CC,DL",34-142,6.9,1,0,0,3,16,1,16,0,3,0.0,0.0,0,28.0,1.0,4.0,20.0,Partidos
250,Sory Kaba,gn GUI,DL,28-227,6.6,2,0,0,13,14,8,0,0,0,0.0,0.0,0,15.0,25.0,29.0,46.3,Partidos
251,Marc Cardona,es ESP,DL,28-247,6.0,3,0,0,8,16,11,5,1,5,1.0,0.0,0,19.0,6.0,12.0,33.3,Partidos
252,Francisco Jesús Crespo García,es ESP,DL,27-226,5.4,1,0,0,6,4,0,29,2,8,0.0,0.0,0,21.0,4.0,2.0,66.7,Partidos
253,Daley Sinkgraven,nl NED,DF,28-251,2.9,0,1,0,4,1,0,4,3,4,0.0,1.0,0,14.0,3.0,1.0,75.0,Partidos
254,Juan Herzog,es ESP,DF,20-303,2.2,1,0,0,1,1,0,0,2,4,0.0,0.0,0,9.0,2.0,2.0,50.0,Partidos
255,Álvaro Lemos,es ESP,DF,30-347,2.2,1,0,0,2,1,0,5,2,1,0.0,0.0,0,9.0,5.0,1.0,83.3,Partidos
256,Cristian Herrera,es ESP,"DL,CC",32-364,1.7,1,0,0,3,2,2,1,0,1,0.0,0.0,0,9.0,0.0,2.0,0.0,Partidos
257,José Campaña,es ESP,CC,30-285,1.1,0,0,0,0,3,0,3,1,2,0.0,0.0,0,11.0,2.0,0.0,100.0,Partidos
258,Eric Curbelo,es ESP,DF,30-057,1.0,0,0,0,0,0,0,0,2,1,0.0,0.0,0,10.0,0.0,1.0,0.0,Partidos
259,Omenuke Mfulu,cd COD,"CC,DL",29-357,0.9,1,0,0,0,2,0,0,2,3,0.0,0.0,0,7.0,3.0,4.0,42.9,Partidos
260,Benito Ramírez,es ESP,"DL,CC",28-244,1.9,0,0,0,2,1,2,21,1,2,0.0,0.0,0,12.0,0.0,8.0,0.0,Partidos
261,Iñaki González,es ESP,CC,19-228,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
262,Fabio González,es ESP,CC,27-028,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Partidos
263,Total del equipo,,,26.2,28.0,68,3,1,307,380,61,427,214,302,2.0,6.0,1,1441.0,302.0,358.0,45.8,
264,Total del oponente,,,27.9,28.0,70,4,2,399,280,127,544,246,297,5.0,4.0,0,1494.0,358.0,302.0,54.2,
265,David García,es ESP,DF,30-026,24.7,5,0,0,32,10,1,2,16,18,0.0,1.0,0,125.0,84.0,33.0,71.8,Partidos
266,Ante Budimir,hr CRO,DL,32-233,23.7,4,0,0,36,23,21,7,4,14,2.0,0.0,0,48.0,144.0,114.0,55.8,Partidos
267,Sergio Herrera,es ESP,PO,30-280,23.9,2,0,0,0,5,0,0,0,1,0.0,0.0,0,16.0,7.0,0.0,100.0,Partidos
268,Aimar Oroz,es ESP,CC,22-105,23.1,3,0,0,38,40,2,10,13,25,0.0,0.0,0,127.0,18.0,37.0,32.7,Partidos
269,Jesús Areso,es ESP,DF,24-253,20.6,2,0,0,21,12,1,78,12,14,0.0,0.0,0,94.0,19.0,15.0,55.9,Partidos
270,Catena,es ESP,DF,29-135,19.7,6,1,0,35,14,1,0,11,12,0.0,1.0,0,95.0,44.0,21.0,67.7,Partidos
271,Rubén Peña,es ESP,"DF,DL",32-237,16.6,2,0,0,21,17,1,80,21,22,0.0,0.0,0,101.0,13.0,34.0,27.7,Partidos
272,Moi Gómez,es ESP,"CC,DL",29-262,17.1,3,0,0,26,24,1,39,9,17,0.0,0.0,0,100.0,9.0,13.0,40.9,Partidos
273,Lucas Torró,es ESP,CC,29-236,15.2,4,0,0,32,14,0,1,28,12,0.0,0.0,0,93.0,50.0,27.0,64.9,Partidos
274,Johan Mojica,co COL,"DF,DL",31-203,15.9,1,0,0,18,11,0,93,18,19,0.0,0.0,0,125.0,10.0,11.0,47.6,Partidos
275,Jon Moncayola,es ESP,CC,25-303,14.7,2,0,0,19,8,0,68,12,15,0.0,0.0,0,69.0,13.0,11.0,54.2,Partidos
276,Juan Cruz Armada,es ESP,DF,31-227,14.6,3,0,0,17,3,1,15,7,11,0.0,0.0,0,62.0,17.0,14.0,54.8,Partidos
277,Iker Muñoz,es ESP,CC,21-127,11.9,2,0,0,19,32,0,6,6,11,0.0,0.0,0,63.0,36.0,27.0,57.1,Partidos
278,Rubén García,es ESP,DL,30-241,10.6,0,0,0,14,19,4,56,8,11,0.0,0.0,0,53.0,19.0,20.0,48.7,Partidos
279,Ezequiel Ávila,ar ARG,"DL,CC",30-034,9.6,3,2,0,8,20,4,79,4,2,0.0,0.0,0,37.0,10.0,20.0,33.3,Partidos
280,Jorge Herrando,es ESP,DF,23-012,8.4,2,0,0,10,5,0,0,9,7,0.0,0.0,0,24.0,9.0,13.0,40.9,Partidos
281,Raúl,es ESP,DL,23-129,8.7,3,0,0,10,9,7,4,2,2,0.0,0.0,0,17.0,32.0,45.0,41.6,Partidos
282,Pablo Ibáñez,es ESP,CC,25-173,7.8,4,0,0,17,9,1,9,5,8,1.0,0.0,0,41.0,21.0,26.0,44.7,Partidos
283,José Arnaiz,es ESP,"DL,CC",28-331,6.4,1,0,0,5,14,3,29,3,5,0.0,0.0,0,33.0,6.0,8.0,42.9,Partidos
284,Unai García,es ESP,DF,32-037,4.9,3,1,1,6,1,0,3,6,8,0.0,0.0,0,15.0,3.0,4.0,42.9,Partidos
285,Aitor Fernández,es ESP,PO,32-313,4.1,2,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,Partidos
286,Kike Barja,es ESP,"DL,CC",26-345,3.4,3,0,0,8,4,1,23,2,2,0.0,0.0,0,16.0,3.0,5.0,37.5,Partidos
287,Nacho Vidal,es ESP,"DF,DL",29-047,1.1,0,0,0,0,1,0,0,0,4,0.0,0.0,0,3.0,2.0,4.0,33.3,Partidos
288,Darko Brašanac,rs SRB,CC,32-028,0.5,0,0,0,1,0,0,1,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,Partidos
289,Iñigo Arguibide,es ESP,DF,18-327,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Partidos
290,Total del equipo,,,28.6,28.0,60,4,1,394,295,49,603,196,240,3.0,2.0,0,1362.0,571.0,504.0,53.1,
291,Total del oponente,,,27.5,28.0,67,6,2,312,379,95,523,217,243,1.0,4.0,0,1438.0,503.0,567.0,47.0,
292,Filip Jørgensen,dk DEN,PO,21-330,27.0,3,0,0,1,3,0,0,2,1,0.0,1.0,0,27.0,11.0,0.0,100.0,Partidos
293,Alex Baena,es ESP,"CC,DL",22-235,20.8,8,1,0,38,43,6,130,10,14,0.0,0.0,0,96.0,6.0,11.0,35.3,Partidos
294,Gerard Moreno,es ESP,DL,31-339,21.3,0,0,0,19,33,15,20,6,10,0.0,0.0,0,77.0,25.0,24.0,51.0,Partidos
295,Daniel Parejo,es ESP,CC,34-330,20.9,3,0,0,14,43,0,44,12,23,0.0,0.0,0,129.0,22.0,7.0,75.9,Partidos
296,Alexander Sørloth,no NOR,DL,28-097,18.6,3,0,0,24,14,16,5,0,3,1.0,0.0,0,43.0,53.0,32.0,62.4,Partidos
297,Raúl Albiol,es ESP,DF,38-189,18.2,4,0,0,16,6,1,0,13,9,0.0,0.0,0,61.0,44.0,25.0,63.8,Partidos
298,Jorge Cuenca,es ESP,DF,24-115,16.6,5,0,0,21,10,0,6,17,24,0.0,0.0,0,61.0,54.0,30.0,64.3,Partidos
299,Étienne Capoue,fr FRA,CC,35-244,14.7,7,0,0,20,39,2,4,21,17,1.0,0.0,0,82.0,21.0,17.0,55.3,Partidos
300,Alberto Moreno,es ESP,"DF,CC",31-250,13.1,4,2,2,21,13,5,37,19,17,1.0,0.0,0,60.0,9.0,12.0,42.9,Partidos
301,Santi Comesaña,es ESP,CC,27-158,12.5,6,0,0,25,18,1,4,18,17,0.0,0.0,0,61.0,23.0,21.0,52.3,Partidos
302,Alfonso Pedraza,es ESP,DF,27-337,10.6,4,1,0,12,15,4,52,11,8,0.0,0.0,0,45.0,5.0,7.0,41.7,Partidos
303,Ilias Akhomach,es ESP,"CC,DL",19-330,12.7,3,0,0,32,26,2,23,9,19,0.0,0.0,0,53.0,3.0,7.0,30.0,Partidos
304,Juan Foyth,ar ARG,DF,26-059,11.8,1,0,0,18,7,0,18,12,15,0.0,0.0,0,58.0,26.0,16.0,61.9,Partidos
305,Adrià Altimira,es ESP,"DF,CC",22-349,8.6,3,0,0,12,4,0,5,5,7,0.0,1.0,0,42.0,2.0,7.0,22.2,Partidos
306,José Luis Morales,es ESP,"DL,CC",36-232,9.9,0,0,0,3,4,11,10,6,3,0.0,0.0,0,31.0,1.0,9.0,10.0,Partidos
307,Kiko Femenía,es ESP,DF,33-038,9.6,4,0,0,11,3,0,15,18,15,0.0,0.0,0,58.0,7.0,9.0,43.8,Partidos
308,Aïssa Mandi,dz ALG,DF,32-141,8.6,2,0,0,4,4,0,0,7,5,0.0,1.0,0,35.0,9.0,7.0,56.3,Partidos
309,Yeremi Pino,es ESP,"CC,DL",21-143,5.3,4,0,0,22,9,3,7,5,18,0.0,0.0,0,29.0,8.0,10.0,44.4,Partidos
310,Eric Bailly,ci CIV,DF,29-334,6.3,3,0,0,5,3,0,0,8,3,0.0,0.0,1,35.0,11.0,3.0,78.6,Partidos
311,Francis Coquelin,fr FRA,CC,32-303,6.3,1,0,0,8,5,0,1,14,5,0.0,0.0,0,29.0,8.0,5.0,61.5,Partidos
312,Matteo Gabbia,it ITA,DF,24-142,5.3,2,0,0,9,3,0,0,8,6,0.0,0.0,0,20.0,17.0,5.0,77.3,Partidos
313,Ramón Terrats,es ESP,CC,23-145,6.9,3,0,0,13,13,0,20,3,6,0.0,1.0,0,29.0,4.0,4.0,50.0,Partidos
314,Yerson Mosquera,co COL,DF,22-314,4.2,2,0,0,2,7,0,1,2,3,0.0,0.0,0,18.0,5.0,6.0,45.5,Partidos
315,Gonçalo Guedes,pt POR,"DL,CC",27-103,3.8,0,0,0,0,6,2,9,0,2,0.0,0.0,0,7.0,1.0,8.0,11.1,Partidos
316,Ben Brereton,cl CHI,"DL,CC",24-328,3.0,2,0,0,5,4,2,4,0,2,0.0,0.0,0,13.0,1.0,2.0,33.3,Partidos
317,Carlos Romero,es ESP,DF,22-134,2.7,1,0,0,2,6,0,10,1,5,0.0,0.0,0,25.0,1.0,2.0,33.3,Partidos
318,Bertrand Traoré,bf BFA,CC,28-187,1.7,1,0,0,2,4,1,3,0,1,0.0,0.0,0,4.0,1.0,1.0,50.0,Partidos
319,Manu Trigueros,es ESP,CC,32-146,2.3,0,0,0,4,2,1,2,2,4,0.0,0.0,0,9.0,4.0,1.0,80.0,Partidos
320,Denis Suárez,es ESP,"CC,DL",30-065,1.5,0,0,0,4,2,1,4,0,0,0.0,0.0,0,8.0,0.0,1.0,0.0,Partidos
321,Pepe Reina,es ESP,PO,41-193,1.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
322,Stefan Lekovic,rs SRB,DF,20-062,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
323,Pascu,es ESP,DL,20-337,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Partidos
324,Total del equipo,,,28.6,28.0,80,5,2,367,349,73,434,229,262,3.0,4.0,1,1246.0,382.0,290.0,56.8,
325,Total del oponente,,,27.8,28.0,64,1,1,368,346,64,679,255,330,2.0,4.0,1,1410.0,290.0,382.0,43.2,
326,David Soria,es ESP,PO,30-342,28.0,3,0,0,1,1,0,0,0,0,0.0,1.0,0,40.0,3.0,0.0,100.0,Partidos
327,Nemanja Maksimović,rs SRB,CC,29-045,26.4,3,0,0,16,9,0,4,39,33,0.0,1.0,0,113.0,60.0,45.0,57.1,Partidos
328,Borja Mayoral,es ESP,DL,26-341,23.9,2,0,0,31,32,14,22,4,5,1.0,0.0,0,69.0,48.0,71.0,40.3,Partidos
329,Gastón Álvarez,uy URU,DF,23-353,21.7,5,0,0,29,8,1,20,32,27,0.0,0.0,0,112.0,38.0,22.0,63.3,Partidos
330,Djené,tg TOG,"DF,CC",32-071,19.8,13,1,1,43,26,1,23,16,12,0.0,0.0,0,123.0,27.0,22.0,55.1,Partidos
331,Diego Rico,es ESP,DF,31-017,21.6,7,0,0,17,46,2,95,33,34,0.0,0.0,0,127.0,23.0,17.0,57.5,Partidos
332,Mason Greenwood,eng ENG,"CC,DL",22-162,19.6,5,1,0,30,22,1,82,3,2,1.0,0.0,0,85.0,4.0,13.0,23.5,Partidos
333,Jaime Mata,es ESP,"DL,CC",35-139,14.1,8,1,1,42,17,20,37,15,14,0.0,0.0,0,48.0,34.0,34.0,50.0,Partidos
334,Luis Milla,es ESP,CC,29-156,15.0,5,0,0,28,23,0,80,23,24,0.0,0.0,0,115.0,22.0,15.0,59.5,Partidos
335,Omar Alderete,py PAR,DF,27-076,14.9,5,1,0,20,8,1,2,7,14,0.0,0.0,0,77.0,39.0,28.0,58.2,Partidos
336,Damián Suárez,uy URU,DF,35-319,14.4,7,1,0,24,12,0,49,10,21,0.0,1.0,0,77.0,9.0,9.0,50.0,Partidos
337,Juanmi Latasa,es ESP,DL,22-354,13.6,5,1,1,53,27,4,2,3,4,1.0,1.0,0,21.0,122.0,98.0,55.5,Partidos
338,Iglesias,es ESP,"DF,DL",25-252,13.4,3,0,0,15,5,1,54,15,20,0.0,0.0,0,67.0,10.0,9.0,52.6,Partidos
339,Domingos Duarte,pt POR,DF,29-001,10.1,5,2,1,8,8,0,1,8,4,0.0,0.0,0,45.0,14.0,10.0,58.3,Partidos
340,Carles Aleñá,es ESP,"CC,DL",26-066,9.5,4,0,0,15,15,3,29,3,6,0.0,0.0,0,43.0,10.0,18.0,35.7,Partidos
341,Carmona,es ESP,"CC,DF",22-042,8.3,6,0,0,26,11,3,12,11,8,0.0,0.0,0,45.0,12.0,15.0,44.4,Partidos
342,Stefan Mitrović,rs SRB,DF,33-294,7.8,3,0,0,13,2,0,0,6,3,0.0,1.0,0,27.0,11.0,20.0,35.5,Partidos
343,Jordi,es ESP,CC,23-066,5.3,0,0,0,15,5,1,18,7,10,0.0,1.0,0,29.0,9.0,17.0,34.6,Partidos
344,Mauro Arambarri,uy URU,CC,28-163,3.8,2,0,0,18,3,0,6,2,2,0.0,0.0,0,27.0,5.0,8.0,38.5,Partidos
345,Ilaix Moriba,gn GUI,CC,21-052,2.6,2,0,0,9,10,0,1,3,1,0.0,0.0,0,9.0,4.0,3.0,57.1,Partidos
346,Óscar Rodríguez Arnaiz,es ESP,"CC,DL",25-257,4.1,5,0,0,10,6,0,11,4,5,0.0,0.0,0,31.0,4.0,14.0,22.2,Partidos
347,Jesús Santiago,es ESP,CC,19-291,1.9,2,0,0,6,1,0,2,0,1,0.0,0.0,0,8.0,2.0,2.0,50.0,Partidos
348,Enes Ünal,tr TUR,"DL,CC",26-306,1.6,0,0,0,5,5,4,1,0,0,0.0,0.0,0,5.0,3.0,13.0,18.8,Partidos
349,Fabrizio Angileri,ar ARG,"DF,CC",29-362,1.1,2,1,0,0,1,0,5,2,0,0.0,0.0,0,11.0,4.0,4.0,50.0,Partidos
350,Portu,es ESP,DL,31-295,1.1,1,0,0,0,0,1,2,0,3,0.0,0.0,0,4.0,1.0,3.0,25.0,Partidos
351,Anthony Lozano,hn HON,"CC,DL",30-321,1.0,1,0,0,6,1,1,1,0,0,0.0,0.0,0,2.0,7.0,7.0,50.0,Partidos
352,Santiago García,,DL,22-195,0.3,0,0,0,1,1,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,,Partidos
353,Gorka Rivera Alonso,es ESP,DF,19-223,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Partidos
354,Total del equipo,,,28.3,28.0,104,9,4,481,305,58,559,246,253,3.0,6.0,0,1365.0,525.0,517.0,50.4,
355,Total del oponente,,,27.8,28.0,68,7,2,324,463,116,464,208,247,5.0,6.0,0,1454.0,514.0,524.0,49.5,
356,Antonio Sivera,es ESP,PO,27-213,28.0,2,0,0,0,2,0,0,0,0,0.0,0.0,0,20.0,6.0,1.0,85.7,Partidos
357,Ander Guevara,es ESP,CC,26-248,26.4,6,0,0,42,27,0,8,12,26,1.0,0.0,0,192.0,37.0,35.0,51.4,Partidos
358,Luis Rioja,es ESP,"DL,CC",30-147,24.4,3,0,0,21,18,9,159,16,18,1.0,0.0,0,117.0,10.0,20.0,33.3,Partidos
359,Andoni Gorosabel,es ESP,DF,27-220,25.6,5,0,0,23,31,0,60,21,29,0.0,0.0,0,133.0,21.0,45.0,31.8,Partidos
360,Jon Guridi,es ESP,CC,29-012,22.4,1,0,0,14,22,2,17,13,18,0.0,0.0,0,104.0,35.0,41.0,46.1,Partidos
361,Rafa Marín,es ESP,DF,21-297,20.2,4,0,0,22,12,0,1,19,16,0.0,0.0,1,94.0,47.0,36.0,56.6,Partidos
362,Antonio Blanco,es ESP,CC,23-232,19.5,1,1,0,23,30,0,12,24,28,0.0,0.0,0,126.0,15.0,14.0,51.7,Partidos
